Experiment	LongTerm Data	
6.6602863E+2	-4.1748801E+2
6.6702972E+2	-4.0119791E+2
6.6802881E+2	-3.9347699E+2
6.6902887E+2	-3.9777344E+2
6.7002899E+2	-4.1263486E+2
6.7103711E+2	-4.1382251E+2
6.7202917E+2	-4.4103882E+2
6.7302930E+2	-4.3359418E+2
6.7402942E+2	-4.2868185E+2
6.7502948E+2	-3.9890567E+2
6.7602960E+2	-4.1339066E+2
6.7702972E+2	-4.1960995E+2
6.7802881E+2	-4.0416925E+2
6.7902991E+2	-4.1593097E+2
6.8002899E+2	-4.0720053E+2
6.8102911E+2	-4.1210358E+2
6.8202917E+2	-4.4169574E+2
6.8302930E+2	-4.6595193E+2
6.8402942E+2	-4.2340863E+2
6.8502948E+2	-4.2689670E+2
6.8602960E+2	-3.9337692E+2
6.8702972E+2	-3.9807129E+2
6.8802979E+2	-4.6063495E+2
6.8902991E+2	-4.0388358E+2
6.9002997E+2	-4.0157181E+2
6.9103009E+2	-4.5911932E+2
6.9203021E+2	-4.1917780E+2
6.9303027E+2	-4.3945050E+2
6.9403040E+2	-4.0304166E+2
6.9503052E+2	-4.1364471E+2
6.9602960E+2	-4.1564450E+2
6.9702972E+2	-4.1162296E+2
6.9802979E+2	-4.1144821E+2
6.9902991E+2	-4.0848520E+2
7.0002997E+2	-4.1442990E+2
7.0103009E+2	-3.9682208E+2
7.0203021E+2	-4.3176160E+2
7.0303027E+2	-4.1451962E+2
7.0403040E+2	-3.8551544E+2
7.0503052E+2	-4.1402106E+2
7.0603058E+2	-4.1070593E+2
7.0703070E+2	-4.1240054E+2
7.0803082E+2	-4.1541772E+2
7.0903088E+2	-4.4064871E+2
7.1003101E+2	-4.4683279E+2
7.1103107E+2	-4.2376294E+2
7.1203119E+2	-4.4598685E+2
7.1303027E+2	-3.9415756E+2
7.1403040E+2	-4.4707278E+2
7.1503052E+2	-4.0326144E+2
7.1603058E+2	-4.2643674E+2
7.1703070E+2	-3.6698013E+2
7.1803082E+2	-3.7460934E+2
7.1903088E+2	-4.2997626E+2
7.2003101E+2	-4.1345078E+2
7.2103107E+2	-4.2181454E+2
7.2203119E+2	-4.1289362E+2
7.2303131E+2	-4.3915402E+2
7.2403137E+2	-4.5711115E+2
7.2503149E+2	-4.2949734E+2
7.2603162E+2	-4.5796866E+2
7.2703168E+2	-4.4400864E+2
7.2803180E+2	-4.4271240E+2
7.2903192E+2	-4.6213885E+2
7.3003198E+2	-4.7096576E+2
7.3103210E+2	-4.6786868E+2
7.3203119E+2	-4.3640192E+2
7.3303131E+2	-4.4502798E+2
7.3403137E+2	-4.3841623E+2
7.3503149E+2	-4.7814081E+2
7.3603162E+2	-4.4009909E+2
7.3703168E+2	-4.7746643E+2
7.3803180E+2	-4.9568204E+2
7.3903192E+2	-4.1903067E+2
7.4003198E+2	-4.3802411E+2
7.4103210E+2	-4.8256451E+2
7.4203217E+2	-4.4037759E+2
7.4303229E+2	-4.7071121E+2
7.4403241E+2	-4.7120581E+2
7.4503247E+2	-4.8086539E+2
7.4603259E+2	-4.3512360E+2
7.4703271E+2	-4.0114084E+2
7.4803180E+2	-4.4178796E+2
7.4903192E+2	-4.4308728E+2
7.5003198E+2	-4.2174216E+2
7.5103210E+2	-4.5076746E+2
7.5203217E+2	-4.3498770E+2
7.5303229E+2	-4.6704666E+2
7.5403241E+2	-4.3227737E+2
7.5503247E+2	-4.5323898E+2
7.5603259E+2	-4.6061191E+2
7.5703271E+2	-4.6257056E+2
7.5803278E+2	-4.4763998E+2
7.5903290E+2	-4.2564578E+2
7.6003302E+2	-4.4008804E+2
7.6103308E+2	-4.3819025E+2
7.6203320E+2	-4.2467795E+2
7.6303333E+2	-4.3108466E+2
7.6403339E+2	-4.5681693E+2
7.6503351E+2	-4.7553979E+2
7.6603259E+2	-4.5393790E+2
7.6703271E+2	-4.7485373E+2
7.6803278E+2	-4.6726474E+2
7.6903290E+2	-4.6168958E+2
7.7003302E+2	-4.8567563E+2
7.7103308E+2	-4.7603946E+2
7.7203320E+2	-4.6518643E+2
7.7303333E+2	-4.7510406E+2
7.7403339E+2	-5.0757303E+2
7.7503351E+2	-4.6954611E+2
7.7603357E+2	-4.6603992E+2
7.7703369E+2	-5.1130115E+2
7.7803381E+2	-4.6191330E+2
7.7903387E+2	-4.6451184E+2
7.8003400E+2	-4.5525311E+2
7.8103412E+2	-4.8301785E+2
7.8203418E+2	-5.0959460E+2
7.8303333E+2	-5.0712610E+2
7.8403339E+2	-4.9396368E+2
7.8503351E+2	-4.9730185E+2
7.8603357E+2	-5.0308249E+2
7.8703369E+2	-5.1575775E+2
7.8803381E+2	-5.1510321E+2
7.8903387E+2	-4.9274243E+2
7.9003400E+2	-5.1426453E+2
7.9103412E+2	-5.1945850E+2
7.9203418E+2	-5.4089606E+2
7.9303430E+2	-5.2210791E+2
7.9403442E+2	-5.2610327E+2
7.9503448E+2	-4.9837128E+2
7.9603461E+2	-5.0470230E+2
7.9703467E+2	-5.1842798E+2
7.9803479E+2	-5.0047687E+2
7.9903491E+2	-4.9461209E+2
8.0003497E+2	-5.0348062E+2
8.0103412E+2	-5.0054330E+2
8.0203418E+2	-5.4088788E+2
8.0303430E+2	-4.9418805E+2
8.0403442E+2	-5.1641949E+2
8.0503448E+2	-5.2121063E+2
8.0603461E+2	-4.9292899E+2
8.0703467E+2	-5.1781873E+2
8.0803479E+2	-5.3889417E+2
8.0903491E+2	-5.0783539E+2
8.1003497E+2	-5.2320178E+2
8.1103510E+2	-5.1541132E+2
8.1203522E+2	-5.5182837E+2
8.1303528E+2	-5.6963196E+2
8.1403540E+2	-5.1524146E+2
8.1503552E+2	-5.3162903E+2
8.1603760E+2	-5.1435083E+2
8.1703571E+2	-5.2619342E+2
8.1803479E+2	-5.4624091E+2
8.1903491E+2	-5.3269110E+2
8.2003497E+2	-5.3392444E+2
8.2103510E+2	-5.5426929E+2
8.2203522E+2	-5.6442828E+2
8.2303528E+2	-5.4187567E+2
8.2403540E+2	-5.5288770E+2
8.2503552E+2	-5.4730420E+2
8.2603760E+2	-5.3214392E+2
8.2703571E+2	-5.5112024E+2
8.2803778E+2	-5.2790143E+2
8.2903589E+2	-5.2757025E+2
8.3003802E+2	-5.7672528E+2
8.3103607E+2	-5.4960083E+2
8.3203821E+2	-5.6933331E+2
8.3303632E+2	-5.5966547E+2
8.3403839E+2	-5.3045215E+2
8.3503650E+2	-5.3663312E+2
8.3603558E+2	-5.7510144E+2
8.3703870E+2	-5.6719037E+2
8.3803778E+2	-5.7524829E+2
8.3903589E+2	-5.7299792E+2
8.4003802E+2	-5.4234814E+2
8.4103607E+2	-5.4219012E+2
8.4203918E+2	-5.3743408E+2
8.4303632E+2	-5.5971765E+2
8.4403839E+2	-5.6146893E+2
8.4503650E+2	-5.5733527E+2
8.4603857E+2	-5.4579736E+2
8.4703668E+2	-5.6822809E+2
8.4803778E+2	-5.5765210E+2
8.4903687E+2	-5.6789813E+2
8.5003802E+2	-5.4823505E+2
8.5103711E+2	-5.5356372E+2
8.5203717E+2	-5.5463611E+2
8.5303632E+2	-5.6479761E+2
8.5403839E+2	-5.3860175E+2
8.5503650E+2	-5.4235150E+2
8.5603760E+2	-5.6863977E+2
8.5703668E+2	-5.5068213E+2
8.5803979E+2	-5.1667303E+2
8.5903687E+2	-5.2743127E+2
8.6003900E+2	-5.5239417E+2
8.6103711E+2	-5.7620569E+2
8.6203918E+2	-5.7579993E+2
8.6303729E+2	-5.5064038E+2
8.6403839E+2	-5.5050696E+2
8.6503748E+2	-5.2847375E+2
8.6603857E+2	-5.3927405E+2
8.6703772E+2	-5.4749146E+2
8.6803882E+2	-5.7866541E+2
8.6903790E+2	-5.2468829E+2
8.7003802E+2	-5.8775714E+2
8.7103711E+2	-5.6029895E+2
8.7203821E+2	-5.9425214E+2
8.7303729E+2	-5.7710693E+2
8.7403937E+2	-6.1875433E+2
8.7503748E+2	-5.5941028E+2
8.7603760E+2	-5.7253595E+2
8.7703772E+2	-6.0498578E+2
8.7803979E+2	-5.9768079E+2
8.7903790E+2	-5.8213477E+2
8.8003900E+2	-5.6545172E+2
8.8103809E+2	-5.6447540E+2
8.8203918E+2	-5.7305682E+2
8.8303827E+2	-5.4988812E+2
8.8403839E+2	-5.6115009E+2
8.8503851E+2	-5.5338464E+2
8.8603857E+2	-5.7344501E+2
8.8704169E+2	-5.7191803E+2
8.8803979E+2	-5.7100153E+2
8.8903790E+2	-5.8285559E+2
8.9003998E+2	-5.7942188E+2
8.9103809E+2	-5.7355023E+2
8.9203918E+2	-5.5761926E+2
8.9303827E+2	-5.6369482E+2
8.9403937E+2	-5.5975452E+2
8.9503851E+2	-5.6821149E+2
8.9603857E+2	-5.7732526E+2
8.9703870E+2	-5.7161115E+2
8.9803979E+2	-5.8014618E+2
8.9904089E+2	-5.4876819E+2
9.0003900E+2	-5.7802673E+2
9.0104108E+2	-5.6203101E+2
9.0203918E+2	-5.6506525E+2
9.0304132E+2	-5.6856757E+2
9.0403937E+2	-5.8275079E+2
9.0504150E+2	-5.9076984E+2
9.0603961E+2	-5.9066541E+2
9.0703870E+2	-5.9739514E+2
9.0803882E+2	-5.7950769E+2
9.0903888E+2	-6.0364545E+2
9.1003998E+2	-6.0125055E+2
9.1104211E+2	-5.8223004E+2
9.1204120E+2	-5.6994360E+2
9.1304132E+2	-6.0957104E+2
9.1403937E+2	-6.0050140E+2
9.1504047E+2	-5.9788245E+2
9.1603961E+2	-5.7474023E+2
9.1704169E+2	-5.5987799E+2
9.1803979E+2	-5.5105988E+2
9.1904291E+2	-5.6081378E+2
9.2003998E+2	-5.7052435E+2
9.2104309E+2	-5.4844781E+2
9.2204022E+2	-5.6478699E+2
9.2304132E+2	-5.4399756E+2
9.2403937E+2	-5.4252643E+2
9.2504248E+2	-5.5666730E+2
9.2604059E+2	-5.2569379E+2
9.2704468E+2	-5.6737366E+2
9.2803979E+2	-5.7891986E+2
9.2904187E+2	-5.7199756E+2
9.3003998E+2	-6.0002917E+2
9.3104211E+2	-5.7028455E+2
9.3204022E+2	-5.7655420E+2
9.3304327E+2	-5.7481580E+2
9.3404041E+2	-5.7886285E+2
9.3504248E+2	-5.9110114E+2
9.3604059E+2	-5.9351758E+2
9.3704169E+2	-5.6540460E+2
9.3804077E+2	-5.6596997E+2
9.3904388E+2	-5.7338318E+2
9.4004102E+2	-6.1166113E+2
9.4104309E+2	-5.7239288E+2
9.4204120E+2	-5.6735443E+2
9.4304327E+2	-5.7965735E+2
9.4404041E+2	-5.8861206E+2
9.4504248E+2	-5.9970593E+2
9.4604156E+2	-6.0239929E+2
9.4704169E+2	-5.9171075E+2
9.4804077E+2	-6.1068524E+2
9.4904291E+2	-5.9859595E+2
9.5004199E+2	-6.1949689E+2
9.5104309E+2	-6.2330780E+2
9.5204218E+2	-5.5288885E+2
9.5304327E+2	-5.8519885E+2
9.5404138E+2	-5.8676172E+2
9.5504352E+2	-6.0877222E+2
9.5604156E+2	-5.9389563E+2
9.5704169E+2	-5.6464404E+2
9.5804077E+2	-5.7592688E+2
9.5904187E+2	-6.3717627E+2
9.6004199E+2	-6.1485437E+2
9.6104309E+2	-6.2133795E+2
9.6204120E+2	-5.8268005E+2
9.6304327E+2	-5.5209979E+2
9.6404138E+2	-5.7404230E+2
9.6504248E+2	-5.5348633E+2
9.6604156E+2	-5.9063599E+2
9.6704272E+2	-6.0123346E+2
9.6804181E+2	-6.0944128E+2
9.6904187E+2	-6.1737177E+2
9.7004199E+2	-5.6665460E+2
9.7104211E+2	-5.8456439E+2
9.7204218E+2	-5.8296448E+2
9.7304327E+2	-5.9604858E+2
9.7404242E+2	-5.7564014E+2
9.7504352E+2	-5.7460577E+2
9.7604156E+2	-5.9904456E+2
9.7704272E+2	-6.0716888E+2
9.7804181E+2	-5.9986218E+2
9.7904388E+2	-5.9789661E+2
9.8004199E+2	-5.9317212E+2
9.8104407E+2	-6.2068878E+2
9.8204321E+2	-5.5605127E+2
9.8304230E+2	-5.7384888E+2
9.8404242E+2	-5.8374646E+2
9.8504248E+2	-6.2302069E+2
9.8604260E+2	-6.4977588E+2
9.8704272E+2	-6.1680597E+2
9.8804279E+2	-6.8737982E+2
9.8904291E+2	-6.7025214E+2
9.9004297E+2	-6.1924707E+2
9.9104309E+2	-6.0537103E+2
9.9204321E+2	-6.4414996E+2
9.9304431E+2	-6.9180219E+2
9.9404242E+2	-6.9334186E+2
9.9504352E+2	-6.2885266E+2
9.9604260E+2	-6.5826312E+2
9.9704370E+2	-6.7959863E+2
9.9804279E+2	-6.8490479E+2
9.9904388E+2	-6.6263336E+2
1.0000430E+3	-6.3996442E+2
1.0010441E+3	-6.6232123E+2
1.0020432E+3	-6.6094836E+2
1.0030433E+3	-6.8762610E+2
1.0040434E+3	-6.8368396E+2
1.0050445E+3	-6.5089392E+2
1.0060436E+3	-6.7570825E+2
1.0070437E+3	-6.7756561E+2
1.0080438E+3	-7.0731897E+2
1.0090439E+3	-7.2509430E+2
1.0100440E+3	-6.7286462E+2
1.0110441E+3	-6.7651288E+2
1.0120432E+3	-7.0314331E+2
1.0130443E+3	-6.8210382E+2
1.0140434E+3	-6.9022540E+2
1.0150445E+3	-6.8296942E+2
1.0160436E+3	-6.6170166E+2
1.0170447E+3	-6.5924792E+2
1.0180448E+3	-6.7178699E+2
1.0190439E+3	-7.1792371E+2
1.0200440E+3	-7.0915918E+2
1.0210441E+3	-6.8890717E+2
1.0220442E+3	-6.8050079E+2
1.0230453E+3	-6.9766357E+2
1.0240444E+3	-7.3219543E+2
1.0250444E+3	-7.1414899E+2
1.0260446E+3	-6.9624091E+2
1.0270447E+3	-7.1358569E+2
1.0280438E+3	-6.8991669E+2
1.0290439E+3	-7.2853265E+2
1.0300439E+3	-7.3041583E+2
1.0310450E+3	-6.9641626E+2
1.0320442E+3	-7.0886096E+2
1.0330453E+3	-7.5972412E+2
1.0340444E+3	-7.3913867E+2
1.0350455E+3	-7.6685168E+2
1.0360446E+3	-7.2253784E+2
1.0370447E+3	-7.2980707E+2
1.0380448E+3	-7.0891199E+2
1.0390459E+3	-6.8813464E+2
1.0400450E+3	-7.4369196E+2
1.0410461E+3	-7.5850604E+2
1.0420452E+3	-7.2390308E+2
1.0430453E+3	-7.1732813E+2
1.0440454E+3	-7.2351648E+2
1.0450444E+3	-7.0269806E+2
1.0460446E+3	-7.0196558E+2
1.0470447E+3	-7.1065308E+2
1.0480458E+3	-7.1460345E+2
1.0490459E+3	-7.1841846E+2
1.0500450E+3	-7.3885437E+2
1.0510461E+3	-7.4845514E+2
1.0520452E+3	-7.2202191E+2
1.0530453E+3	-7.8074951E+2
1.0540454E+3	-7.4089783E+2
1.0550455E+3	-7.2759381E+2
1.0560457E+3	-7.5751746E+2
1.0570457E+3	-7.6214984E+2
1.0580458E+3	-7.5648529E+2
1.0590459E+3	-7.8173651E+2
1.0600460E+3	-7.7956342E+2
1.0610461E+3	-7.5147876E+2
1.0620461E+3	-7.6085455E+2
1.0630453E+3	-7.8401605E+2
1.0640454E+3	-7.4075677E+2
1.0650455E+3	-7.9460797E+2
1.0660457E+3	-7.5426056E+2
1.0670457E+3	-7.5694794E+2
1.0680458E+3	-7.4538464E+2
1.0690459E+3	-7.6719208E+2
1.0700460E+3	-7.7745459E+2
1.0710461E+3	-7.7683044E+2
1.0720461E+3	-7.9549030E+2
1.0730463E+3	-7.7177942E+2
1.0740464E+3	-7.5806360E+2
1.0750465E+3	-7.5674347E+2
1.0760466E+3	-7.8446021E+2
1.0770468E+3	-7.8616827E+2
1.0780468E+3	-7.6058899E+2
1.0790469E+3	-8.0227594E+2
1.0800460E+3	-8.1215674E+2
1.0810461E+3	-8.0008038E+2
1.0820461E+3	-7.8095441E+2
1.0830463E+3	-7.9411194E+2
1.0840464E+3	-8.1581281E+2
1.0850465E+3	-7.9019025E+2
1.0860466E+3	-8.3227625E+2
1.0870468E+3	-7.9875543E+2
1.0880468E+3	-7.8722260E+2
1.0890469E+3	-7.9196448E+2
1.0900470E+3	-7.9555426E+2
1.0910471E+3	-8.3621826E+2
1.0920472E+3	-8.2437061E+2
1.0930472E+3	-8.1844098E+2
1.0940474E+3	-7.9992682E+2
1.0950475E+3	-8.1705151E+2
1.0960476E+3	-8.4124249E+2
1.0970477E+3	-8.1130774E+2
1.0980468E+3	-8.4903156E+2
1.0990469E+3	-8.0596832E+2
1.1000470E+3	-8.4338904E+2
1.1010471E+3	-8.3603827E+2
1.1020472E+3	-8.0213055E+2
1.1030472E+3	-8.4026660E+2
1.1040474E+3	-8.3688928E+2
1.1050475E+3	-8.8049402E+2
1.1060476E+3	-8.4518927E+2
1.1070477E+3	-8.2567767E+2
1.1080479E+3	-8.6491895E+2
1.1090479E+3	-8.5742102E+2
1.1100480E+3	-8.9556439E+2
1.1110481E+3	-8.4655438E+2
1.1120482E+3	-8.6326184E+2
1.1130483E+3	-8.6049725E+2
1.1140483E+3	-9.0210822E+2
1.1150475E+3	-9.0521997E+2
1.1160476E+3	-8.8537360E+2
1.1170477E+3	-8.5489899E+2
1.1180479E+3	-9.0297339E+2
1.1190479E+3	-8.8583575E+2
1.1200480E+3	-8.8249512E+2
1.1210481E+3	-8.8701221E+2
1.1220482E+3	-9.0841595E+2
1.1230483E+3	-8.9884601E+2
1.1240483E+3	-8.5622601E+2
1.1250485E+3	-8.7540051E+2
1.1260486E+3	-8.9290570E+2
1.1270516E+3	-8.5614935E+2
1.1280488E+3	-8.9552197E+2
1.1290509E+3	-8.9731305E+2
1.1300490E+3	-9.0544427E+2
1.1310521E+3	-9.2261749E+2
1.1320492E+3	-8.9428937E+2
1.1330483E+3	-9.1762964E+2
1.1340483E+3	-8.8204480E+2
1.1350505E+3	-8.7660638E+2
1.1360486E+3	-8.6985553E+2
1.1370487E+3	-8.7793744E+2
1.1380488E+3	-8.9645514E+2
1.1390499E+3	-9.0342413E+2
1.1400490E+3	-9.0964893E+2
1.1410511E+3	-8.8279138E+2
1.1420492E+3	-8.9918384E+2
1.1430513E+3	-8.8736969E+2
1.1440494E+3	-8.7698444E+2
1.1450515E+3	-8.6241809E+2
1.1460496E+3	-8.9499890E+2
1.1470516E+3	-8.9333380E+2
1.1480498E+3	-8.8085248E+2
1.1490509E+3	-9.0423120E+2
1.1500490E+3	-9.0523199E+2
1.1510511E+3	-8.7545752E+2
1.1520492E+3	-9.1479932E+2
1.1530503E+3	-8.9597766E+2
1.1540494E+3	-8.9915582E+2
1.1550525E+3	-9.0105243E+2
1.1560496E+3	-9.0018707E+2
1.1570527E+3	-9.0914404E+2
1.1580498E+3	-8.8318250E+2
1.1590509E+3	-8.9645612E+2
1.1600500E+3	-8.9631561E+2
1.1610511E+3	-8.9943665E+2
1.1620502E+3	-8.8935730E+2
1.1630522E+3	-9.1885754E+2
1.1640504E+3	-8.6246625E+2
1.1650515E+3	-8.8395422E+2
1.1660505E+3	-8.9791028E+2
1.1670527E+3	-8.7584491E+2
1.1680498E+3	-9.2908484E+2
1.1690519E+3	-8.8656311E+2
1.1700500E+3	-9.0788000E+2
1.1710511E+3	-8.9760889E+2
1.1720502E+3	-9.2162256E+2
1.1730513E+3	-9.3197467E+2
1.1740504E+3	-9.1142188E+2
1.1750505E+3	-9.3107739E+2
1.1760505E+3	-9.4655029E+2
1.1770507E+3	-9.5781287E+2
1.1780508E+3	-9.0493256E+2
1.1790519E+3	-8.8888806E+2
1.1800510E+3	-9.2030902E+2
1.1810511E+3	-9.1673126E+2
1.1820511E+3	-9.4093774E+2
1.1830513E+3	-9.6032581E+2
1.1840514E+3	-9.5499481E+2
1.1850505E+3	-9.3334973E+2
1.1860505E+3	-9.3854150E+2
1.1870507E+3	-9.2133929E+2
1.1880508E+3	-9.1360632E+2
1.1890509E+3	-8.7977191E+2
1.1900510E+3	-8.9138464E+2
1.1910511E+3	-8.8816687E+2
1.1920511E+3	-8.9271515E+2
1.1930513E+3	-9.0211389E+2
1.1940514E+3	-9.3206158E+2
1.1950515E+3	-9.1110718E+2
1.1960536E+3	-9.3250574E+2
1.1970516E+3	-9.2253070E+2
1.1980538E+3	-9.7580029E+2
1.1990529E+3	-9.4860736E+2
1.2000540E+3	-9.3416382E+2
1.2010521E+3	-9.5630908E+2
1.2020562E+3	-9.3305054E+2
1.2030533E+3	-9.4149994E+2
1.2040514E+3	-9.6371130E+2
1.2050525E+3	-9.3407623E+2
1.2060516E+3	-8.8922345E+2
1.2070516E+3	-9.2482550E+2
1.2080538E+3	-8.8692963E+2
1.2090529E+3	-8.9044006E+2
1.2100540E+3	-8.8346619E+2
1.2110521E+3	-9.0554395E+2
1.2120542E+3	-9.1216406E+2
1.2130522E+3	-9.2601740E+2
1.2140554E+3	-9.2918933E+2
1.2150525E+3	-8.9231061E+2
1.2160555E+3	-8.8972333E+2
1.2170527E+3	-8.9249200E+2
1.2180548E+3	-8.9658679E+2
1.2190529E+3	-9.3653595E+2
1.2200540E+3	-9.2729071E+2
1.2210531E+3	-9.4102319E+2
1.2220542E+3	-9.4978546E+2
1.2230522E+3	-9.1456335E+2
1.2240544E+3	-9.0824561E+2
1.2250525E+3	-9.5464581E+2
1.2260536E+3	-9.3608502E+2
1.2270527E+3	-9.4120038E+2
1.2280558E+3	-9.4820099E+2
1.2290529E+3	-9.1536316E+2
1.2300551E+3	-9.4799719E+2
1.2310531E+3	-9.1009991E+2
1.2320542E+3	-9.2754572E+2
1.2330533E+3	-9.2775317E+2
1.2340544E+3	-9.1307996E+2
1.2350535E+3	-9.1504199E+2
1.2360546E+3	-8.9915973E+2
1.2370537E+3	-9.4603931E+2
1.2380548E+3	-9.1361707E+2
1.2390529E+3	-8.9177820E+2
1.2400551E+3	-9.3580878E+2
1.2410531E+3	-9.4439349E+2
1.2420552E+3	-9.4519989E+2
1.2430533E+3	-9.6655847E+2
1.2440564E+3	-9.1964307E+2
1.2450544E+3	-9.4340027E+2
1.2460555E+3	-9.6014215E+2
1.2470547E+3	-9.4375891E+2
1.2480558E+3	-9.3948230E+2
1.2490538E+3	-9.9048083E+2
1.2500560E+3	-9.6617395E+2
1.2510541E+3	-9.5219678E+2
1.2520562E+3	-9.7021417E+2
1.2530543E+3	-9.7297186E+2
1.2540564E+3	-9.6574457E+2
1.2550535E+3	-9.6272870E+2
1.2560555E+3	-9.7135626E+2
1.2570537E+3	-9.8318329E+2
1.2580548E+3	-1.0117655E+3
1.2590538E+3	-9.8210248E+2
1.2600549E+3	-1.0140571E+3
1.2610541E+3	-9.9120532E+2
1.2620542E+3	-9.9172693E+2
1.2630543E+3	-1.0050674E+3
1.2640564E+3	-9.7570715E+2
1.2650544E+3	-1.0047500E+3
1.2660566E+3	-9.9228674E+2
1.2670557E+3	-1.0142017E+3
1.2680548E+3	-1.0137285E+3
1.2690549E+3	-9.8987811E+2
1.2700560E+3	-1.0119735E+3
1.2710551E+3	-1.0269185E+3
1.2720552E+3	-9.9094574E+2
1.2730543E+3	-1.0009927E+3
1.2740554E+3	-1.0571084E+3
1.2750544E+3	-1.0324532E+3
1.2760555E+3	-1.0363386E+3
1.2770547E+3	-9.8607874E+2
1.2780577E+3	-1.0229642E+3
1.2790549E+3	-1.0151295E+3
1.2800560E+3	-1.0360978E+3
1.2810551E+3	-1.0208969E+3
1.2820552E+3	-9.9295056E+2
1.2830553E+3	-1.0286726E+3
1.2840554E+3	-1.0520173E+3
1.2850555E+3	-1.0365649E+3
1.2860566E+3	-1.0339497E+3
1.2870557E+3	-1.0323108E+3
1.2880558E+3	-1.0441392E+3
1.2890559E+3	-1.0272876E+3
1.2900560E+3	-1.0409745E+3
1.2910551E+3	-1.0650221E+3
1.2920582E+3	-1.0260669E+3
1.2930553E+3	-1.0212016E+3
1.2940554E+3	-1.0156630E+3
1.2950555E+3	-1.0541106E+3
1.2960555E+3	-1.0462312E+3
1.2970557E+3	-1.0323331E+3
1.2980577E+3	-9.9994025E+2
1.2990559E+3	-9.6775250E+2
1.3000570E+3	-1.0219440E+3
1.3010562E+3	-1.0154846E+3
1.3020562E+3	-1.0016316E+3
1.3030563E+3	-9.9148950E+2
1.3040564E+3	-1.0213732E+3
1.3050565E+3	-1.0429587E+3
1.3060566E+3	-9.9171472E+2
1.3070566E+3	-1.0454913E+3
1.3080558E+3	-1.0281975E+3
1.3090559E+3	-1.0410157E+3
1.3100560E+3	-1.0288110E+3
1.3110562E+3	-1.0163493E+3
1.3120573E+3	-1.0670999E+3
1.3130563E+3	-1.0410867E+3
1.3140574E+3	-9.9986597E+2
1.3150565E+3	-1.0011177E+3
1.3160566E+3	-1.0166927E+3
1.3170566E+3	-1.0304136E+3
1.3180577E+3	-1.0522559E+3
1.3190569E+3	-1.0203741E+3
1.3200580E+3	-1.0432156E+3
1.3210571E+3	-1.0562167E+3
1.3220573E+3	-1.0261119E+3
1.3230573E+3	-1.0314752E+3
1.3240574E+3	-1.0564230E+3
1.3250565E+3	-1.0435151E+3
1.3260576E+3	-1.0200037E+3
1.3270566E+3	-1.0546453E+3
1.3280568E+3	-1.0742001E+3
1.3290569E+3	-1.0326940E+3
1.3300580E+3	-1.0411743E+3
1.3310571E+3	-1.0650101E+3
1.3320573E+3	-1.0371166E+3
1.3330573E+3	-1.0723231E+3
1.3340574E+3	-1.0656222E+3
1.3350575E+3	-1.0550764E+3
1.3360576E+3	-1.0724402E+3
1.3370577E+3	-1.0678000E+3
1.3380577E+3	-1.0470713E+3
1.3390579E+3	-1.0483591E+3
1.3400580E+3	-1.0632760E+3
1.3410581E+3	-1.0467006E+3
1.3420582E+3	-1.0455314E+3
1.3430573E+3	-1.0356454E+3
1.3440574E+3	-1.0444493E+3
1.3450575E+3	-1.0393252E+3
1.3460576E+3	-1.0393483E+3
1.3470577E+3	-1.0230204E+3
1.3480638E+3	-1.0289185E+3
1.3490579E+3	-1.0317534E+3
1.3500580E+3	-1.0434106E+3
1.3510581E+3	-1.0462965E+3
1.3520582E+3	-1.0395918E+3
1.3530583E+3	-1.0254722E+3
1.3540583E+3	-1.0215108E+3
1.3550585E+3	-1.0917866E+3
1.3560586E+3	-1.0417454E+3
1.3570587E+3	-1.0027584E+3
1.3580588E+3	-1.0212992E+3
1.3590588E+3	-1.0420392E+3
1.3600599E+3	-1.0200529E+3
1.3610581E+3	-1.0119059E+3
1.3620602E+3	-1.0122939E+3
1.3630583E+3	-1.0470282E+3
1.3640583E+3	-1.0264412E+3
1.3650585E+3	-9.9704913E+2
1.3660586E+3	-1.0258046E+3
1.3670587E+3	-9.9132983E+2
1.3680588E+3	-9.9195996E+2
1.3690588E+3	-1.0139581E+3
1.3700590E+3	-1.0038891E+3
1.3710591E+3	-1.0192817E+3
1.3720592E+3	-1.0038350E+3
1.3730593E+3	-1.0273116E+3
1.3740594E+3	-1.0065791E+3
1.3750594E+3	-1.0409957E+3
1.3760596E+3	-1.0315916E+3
1.3770597E+3	-1.0363127E+3
1.3780588E+3	-1.0434094E+3
1.3790588E+3	-1.0705743E+3
1.3800590E+3	-1.0460342E+3
1.3810591E+3	-1.0419559E+3
1.3820592E+3	-1.0483207E+3
1.3830593E+3	-1.0988157E+3
1.3840594E+3	-1.0860107E+3
1.3850594E+3	-1.0799478E+3
1.3860596E+3	-1.0845238E+3
1.3870597E+3	-1.0641473E+3
1.3880598E+3	-1.0642758E+3
1.3890599E+3	-1.0575295E+3
1.3900599E+3	-1.0834609E+3
1.3910601E+3	-1.1029113E+3
1.3920602E+3	-1.0700922E+3
1.3930603E+3	-1.0899838E+3
1.3940604E+3	-1.0821251E+3
1.3950594E+3	-1.1138777E+3
1.3960596E+3	-1.0754636E+3
1.3970597E+3	-1.1192083E+3
1.3980598E+3	-1.1061335E+3
1.3990599E+3	-1.0833060E+3
1.4000599E+3	-1.1072350E+3
1.4010601E+3	-1.0787426E+3
