Experiment	LongTerm Data	
9.9004898E+1	-1.0997926E+2
1.0000500E+2	-1.2803209E+2
1.0100410E+2	-1.3885115E+2
1.0200420E+2	-9.8888359E+1
1.0300430E+2	-1.0183389E+2
1.0400540E+2	-1.2260403E+2
1.0500450E+2	-1.1490148E+2
1.0600460E+2	-1.4799490E+2
1.0700470E+2	-1.3962073E+2
1.0800580E+2	-1.3289716E+2
1.0900490E+2	-1.1832510E+2
1.1000700E+2	-1.2478342E+2
1.1100510E+2	-1.5828156E+2
1.1200720E+2	-1.3317487E+2
1.1300530E+2	-7.5699852E+1
1.1400540E+2	-1.1356509E+2
1.1500550E+2	-1.3218289E+2
1.1600560E+2	-1.2399372E+2
1.1700570E+2	-1.2160458E+2
1.1800580E+2	-8.8743134E+1
1.1900490E+2	-1.0246597E+2
1.2000500E+2	-1.1543671E+2
1.2100510E+2	-1.1236705E+2
1.2200520E+2	-1.0330293E+2
1.2300530E+2	-1.1858487E+2
1.2400540E+2	-1.1020348E+2
1.2500550E+2	-1.2901498E+2
1.2600660E+2	-1.1511948E+2
1.2700570E+2	-1.4977287E+2
1.2800580E+2	-1.1727943E+2
1.2900591E+2	-1.4354280E+2
1.3000600E+2	-1.6828238E+2
1.3100610E+2	-1.3525551E+2
1.3200620E+2	-1.3391328E+2
1.3300630E+2	-1.2202850E+2
1.3400639E+2	-1.2277864E+2
1.3500650E+2	-1.0219530E+2
1.3600560E+2	-1.2356161E+2
1.3700571E+2	-1.2319923E+2
1.3800681E+2	-1.2166840E+2
1.3900591E+2	-1.3867079E+2
1.4000600E+2	-1.3178821E+2
1.4100610E+2	-1.5945592E+2
1.4200620E+2	-1.0978973E+2
1.4300630E+2	-1.6905592E+2
1.4400639E+2	-1.3655510E+2
1.4500650E+2	-1.1244984E+2
1.4600659E+2	-1.0869565E+2
1.4700670E+2	-1.2848151E+2
1.4800681E+2	-1.3137611E+2
1.4900690E+2	-1.3005450E+2
1.5000700E+2	-1.5134430E+2
1.5100710E+2	-1.4359169E+2
1.5200720E+2	-1.3537794E+2
1.5300729E+2	-1.4899837E+2
1.5400639E+2	-1.2964178E+2
1.5500650E+2	-1.1153936E+2
1.5600659E+2	-1.4019023E+2
1.5700670E+2	-1.3001175E+2
1.5800681E+2	-1.1970572E+2
1.5900690E+2	-1.3077621E+2
1.6000700E+2	-1.6020190E+2
1.6100710E+2	-1.4651872E+2
1.6200720E+2	-1.1190623E+2
1.6300729E+2	-1.8721381E+2
1.6400740E+2	-1.8458023E+2
1.6500749E+2	-1.3293501E+2
1.6600760E+2	-1.8487033E+2
1.6700771E+2	-1.8124939E+2
1.6800780E+2	-1.6498125E+2
1.6900790E+2	-1.6033568E+2
1.7000800E+2	-1.7570068E+2
1.7100710E+2	-1.6776474E+2
1.7200720E+2	-1.5927220E+2
1.7300729E+2	-1.8468919E+2
1.7400740E+2	-1.7959219E+2
1.7500749E+2	-1.7800119E+2
1.7600760E+2	-1.6490143E+2
1.7700771E+2	-1.7601549E+2
1.7800780E+2	-1.7186058E+2
1.7900790E+2	-1.7516731E+2
1.8000800E+2	-1.8343848E+2
1.8100810E+2	-1.7930457E+2
1.8200819E+2	-1.4928087E+2
1.8300830E+2	-1.2291318E+2
1.8400839E+2	-1.7169324E+2
1.8500850E+2	-1.3981798E+2
1.8600861E+2	-1.8516461E+2
1.8700870E+2	-1.5268123E+2
1.8800880E+2	-1.8740396E+2
1.8900790E+2	-1.8675243E+2
1.9000800E+2	-1.7117412E+2
1.9100810E+2	-2.0061671E+2
1.9200819E+2	-1.8484392E+2
1.9300830E+2	-1.9883159E+2
1.9400839E+2	-1.4840076E+2
1.9500850E+2	-1.6937358E+2
1.9600861E+2	-1.5316473E+2
1.9700870E+2	-1.4719090E+2
1.9800880E+2	-1.7322859E+2
1.9900890E+2	-1.9016481E+2
2.0000900E+2	-1.7996538E+2
2.0100909E+2	-1.7261989E+2
2.0200920E+2	-1.9380899E+2
2.0300929E+2	-2.1212988E+2
2.0400940E+2	-1.6644237E+2
2.0500949E+2	-1.6460875E+2
2.0600960E+2	-1.8016187E+2
2.0700870E+2	-1.8384485E+2
2.0800880E+2	-1.6027455E+2
2.0900890E+2	-1.6011491E+2
2.1000900E+2	-1.9126237E+2
2.1100909E+2	-1.8591177E+2
2.1200920E+2	-1.6335417E+2
2.1300929E+2	-1.5943648E+2
2.1400940E+2	-1.6737823E+2
2.1500949E+2	-1.8593011E+2
2.1600960E+2	-1.7217046E+2
2.1700970E+2	-1.3858173E+2
2.1800980E+2	-1.5016669E+2
2.1900990E+2	-1.5694417E+2
2.2000999E+2	-1.4541011E+2
2.2101010E+2	-1.7914491E+2
2.2201019E+2	-1.7928902E+2
2.2301030E+2	-1.4153708E+2
2.2400940E+2	-1.8691612E+2
2.2500949E+2	-1.6235342E+2
2.2600960E+2	-1.8332306E+2
2.2700970E+2	-1.6726451E+2
2.2800980E+2	-1.9004774E+2
2.2900990E+2	-2.0987706E+2
2.3000999E+2	-1.7375620E+2
2.3101010E+2	-1.5854659E+2
2.3201019E+2	-1.7830211E+2
2.3301030E+2	-1.6355331E+2
2.3401039E+2	-1.7982457E+2
2.3501050E+2	-1.5355104E+2
2.3601060E+2	-1.8589264E+2
2.3701070E+2	-1.7107231E+2
2.3801080E+2	-1.9486873E+2
2.3901089E+2	-1.7081985E+2
2.4001100E+2	-1.8498650E+2
2.4101010E+2	-2.1570901E+2
2.4201019E+2	-1.6810898E+2
2.4301030E+2	-1.3349901E+2
2.4401039E+2	-1.2021790E+2
2.4501050E+2	-1.6930222E+2
2.4601060E+2	-1.9338982E+2
2.4701070E+2	-1.6244429E+2
2.4801080E+2	-1.5628943E+2
2.4901089E+2	-2.0441861E+2
2.5001100E+2	-1.7025169E+2
2.5101109E+2	-1.9342647E+2
2.5201120E+2	-1.9234874E+2
2.5301129E+2	-2.0917178E+2
2.5401140E+2	-1.7109770E+2
2.5501151E+2	-2.1590482E+2
2.5601160E+2	-1.9834319E+2
2.5701169E+2	-1.9845239E+2
2.5801181E+2	-2.1796538E+2
2.5901089E+2	-2.0188725E+2
2.6001099E+2	-2.0756587E+2
2.6101111E+2	-2.1502850E+2
2.6201120E+2	-1.8201591E+2
2.6301129E+2	-1.9383273E+2
2.6401141E+2	-1.8359302E+2
2.6501151E+2	-1.6866841E+2
2.6601160E+2	-1.9870918E+2
2.6701169E+2	-1.8664957E+2
2.6801181E+2	-1.5646249E+2
2.6901190E+2	-1.7320261E+2
2.7001199E+2	-1.4607784E+2
2.7101208E+2	-1.8607816E+2
2.7201221E+2	-1.9487891E+2
2.7301230E+2	-1.8705363E+2
2.7401239E+2	-2.1199100E+2
2.7501251E+2	-1.8627058E+2
2.7601160E+2	-1.6313969E+2
2.7701169E+2	-1.8164691E+2
2.7801181E+2	-1.9195093E+2
2.7901190E+2	-1.8250453E+2
2.8001199E+2	-1.8856389E+2
2.8101208E+2	-2.0747792E+2
2.8201221E+2	-1.9534148E+2
2.8301230E+2	-2.1739478E+2
2.8401239E+2	-2.3083540E+2
