0.01	-2.26844
0.02	-16.01588
0.03	-18.71521
0.04	-9.71629
0.05	-5.91624
0.06	-3.70844
0.07	0.39637
0.08	2.87153
0.09	3.69383
0.1	3.67676
0.11	6.27618
0.12	6.21374
0.13	10.58942
0.14	13.39749
0.15	13.70333
0.16	12.20202
0.17	9.4919
0.18	7.56427
0.19	6.28902
0.2	5.25905
0.21	5.33789
0.22	6.2077
0.23	6.16009
0.24	5.11862
0.25	2.95597
0.26	0.74996
0.27	-1.77803
0.28	-3.32744
0.29	-3.57274
0.3	-4.39783
0.31	-5.50706
0.32	-7.04059
0.33	-9.11855
0.34	-10.8105
0.35	-13.16721
0.36	-15.16072
0.37	-17.04987
0.38	-19.29712
0.39	-21.51872
0.4	-21.50269
0.41	-21.5397
0.42	-22.36141
0.43	-22.73679
0.44	-22.96707
0.45	-23.20838
0.46	-23.71885
0.47	-25.27887
0.48	-26.62232
0.49	-27.27488
0.5	-27.49162
0.51	-27.89273
0.52	-28.44841
0.53	-28.75437
0.54	-28.82443
0.55	-28.92876
0.56	-29.19114
0.57	-29.52166
0.58	-29.88698
0.59	-29.95827
0.6	-29.72816
0.61	-29.60876
0.62	-29.64409
0.63	-30.16106
0.64	-31.15068
0.65	-32.07035
0.66	-32.80676
0.67	-33.30799
0.68	-33.94234
0.69	-34.58727
0.7	-35.42258
0.71	-36.45664
0.72	-37.53567
0.73	-38.31442
0.74	-39.08247
0.75	-40.33782
0.76	-41.72619
0.77	-43.10662
0.78	-44.56047
0.79	-46.02034
0.8	-47.06922
0.81	-47.6836
0.82	-48.50501
0.83	-49.42741
0.84	-50.02099
0.85	-50.5491
0.86	-51.20512
0.87	-51.99082
0.88	-52.71303
0.89	-53.63346
0.9	-54.51891
0.91	-55.1776
0.92	-55.84851
0.93	-56.39349
0.94	-57.06794
0.95	-57.37712
0.96	-57.26308
0.97	-56.81112
0.98	-56.26855
0.99	-55.58932
1	-54.21214
1.01	-52.78433
1.02	-51.53386
1.03	-49.96858
1.04	-48.247
1.05	-46.71077
1.06	-45.17006
1.07	-43.80898
1.08	-42.40487
1.09	-40.95277
1.1	-39.65389
1.11	-38.32009
1.12	-36.78461
1.13	-35.13822
1.14	-33.40548
1.15	-31.5424
1.16	-29.65766
1.17	-28.19674
1.18	-26.8841
1.19	-25.62839
1.2	-24.23387
1.21	-23.13426
1.22	-22.19785
1.23	-21.61003
1.24	-20.912
1.25	-20.14826
1.26	-19.44663
1.27	-18.53858
1.28	-18.03943
1.29	-18.17846
1.3	-18.72958
1.31	-19.31113
1.32	-19.4883
1.33	-19.46989
1.34	-19.69912
1.35	-19.78726
1.36	-20.05407
1.37	-20.19786
1.38	-20.60508
1.39	-20.99726
1.4	-21.33684
1.41	-21.72165
1.42	-21.73455
1.43	-21.36864
1.44	-20.80694
1.45	-20.15893
1.46	-19.80092
1.47	-19.81287
1.48	-20.02328
1.49	-20.28293
1.5	-20.44271
1.51	-20.44659
1.52	-20.4026
1.53	-20.12483
1.54	-20.02315
1.55	-19.6762
1.56	-19.31061
1.57	-19.10141
1.58	-18.98531
1.59	-18.98313
1.6	-19.34581
1.61	-19.93567
1.62	-20.64776
1.63	-21.4043
1.64	-21.82927
1.65	-21.86883
1.66	-21.89192
1.67	-21.79642
1.68	-21.79307
1.69	-21.74221
1.7	-21.54798
1.71	-21.17201
1.72	-20.86911
1.73	-20.58077
1.74	-20.6381
1.75	-20.79091
1.76	-20.60623
1.77	-20.21012
1.78	-19.70898
1.79	-19.41022
1.8	-18.77708
1.81	-18.25378
1.82	-17.86695
1.83	-17.12723
1.84	-15.68959
1.85	-14.46026
1.86	-13.52007
1.87	-12.8006
1.88	-12.08327
1.89	-11.21543
1.9	-10.33516
1.91	-9.47209
1.92	-9.18488
1.93	-9.31465
1.94	-9.4501
1.95	-9.64471
1.96	-9.97375
1.97	-10.61262
1.98	-11.21167
1.99	-11.74537
2	-12.39552
2.01	-13.52681
2.02	-15.04428
2.03	-16.78543
2.04	-18.7591
2.05	-20.8009
2.06	-22.79308
2.07	-24.63504
2.08	-26.47185
2.09	-28.47368
2.1	-30.56356
2.11	-32.34328
2.12	-34.19526
2.13	-36.15746
2.14	-38.45687
2.15	-40.69337
2.16	-42.81116
2.17	-44.86684
2.18	-46.53911
2.19	-48.02056
2.2	-49.40493
2.21	-50.803
2.22	-52.01282
2.23	-53.31754
2.24	-54.38353
2.25	-54.89651
2.26	-55.31272
2.27	-55.56894
2.28	-55.78127
2.29	-55.9277
2.3	-55.92035
2.31	-55.85194
2.32	-55.89421
2.33	-55.55202
2.34	-55.21188
2.35	-54.71642
2.36	-54.48959
2.37	-54.1991
2.38	-53.64625
2.39	-52.6246
2.4	-51.44975
2.41	-50.59115
2.42	-49.72625
2.43	-49.05723
2.44	-48.70184
2.45	-48.65902
2.46	-48.59153
2.47	-48.34479
2.48	-47.8068
2.49	-47.12854
2.5	-46.3086
2.51	-45.47007
2.52	-44.76164
2.53	-43.98997
2.54	-43.14153
2.55	-42.2593
2.56	-41.85209
2.57	-41.60592
2.58	-41.3489
2.59	-41.31741
2.6	-41.22852
2.61	-41.02401
2.62	-41.00681
2.63	-40.89252
2.64	-40.46648
2.65	-39.96289
2.66	-39.71257
2.67	-39.3506
2.68	-39.17127
2.69	-38.72136
2.7	-37.98187
2.71	-37.1338
2.72	-36.53815
2.73	-36.21697
2.74	-35.84322
2.75	-35.23551
2.76	-34.50501
2.77	-34.18778
2.78	-34.06951
2.79	-34.0269
2.8	-33.71624
2.81	-33.67078
2.82	-33.71259
2.83	-33.51263
2.84	-33.23633
2.85	-33.45305
2.86	-33.94925
2.87	-34.08599
2.88	-34.14567
2.89	-34.09357
2.9	-34.25437
2.91	-34.06275
2.92	-34.17739
2.93	-34.1025
2.94	-33.99992
2.95	-33.96972
2.96	-33.76725
2.97	-33.57401
2.98	-33.53963
2.99	-33.74629
3	-33.91853
3.01	-33.97391
3.02	-33.8472
3.03	-33.59082
3.04	-32.87742
3.05	-32.05872
3.06	-31.48437
3.07	-30.99782
3.08	-30.82673
3.09	-30.94199
3.1	-31.08625
3.11	-31.00892
3.12	-31.02836
3.13	-31.42711
3.14	-31.60882
