Cytomass frequency sweep file

File creation date:	6/28/2018
File creation time:	4:17:58 PM

Sweep parameters
Centre frequency (Hz):	84597.584983
Sweep range (Hz):	60000.000000
Excitation amplitude (V):	4.600000
Number of points:	256
Step time (s):	0.100000


Fit parameters
Q factor:	3.034323
Prior reference phase (deg):	-177.246211
Phase offset (deg):	-0.245292
New reference phase (deg):	-177.000919
Reference frequency (Hz):	84597.584983
Peak amplitude frequency (Hz):	81780.697468


Sweep data
Frequency (Hz)	Amplitude (V)	Phase (deg)
96674.833782	8.979660	-54.057300
96909.208782	8.677070	-56.223200
97143.583782	8.798370	-56.710400
97377.958782	8.556090	-55.672300
97612.333782	8.125030	-58.181300
97846.708782	8.385430	-59.413800
98081.083782	8.149560	-57.050900
98315.458782	8.002230	-59.013200
98549.833782	7.803490	-60.702700
98784.208782	7.562960	-61.997000
99018.583782	7.786660	-63.262300
99252.958782	7.556050	-63.454200
99487.333782	7.327080	-64.286500
99721.708782	7.323960	-64.613200
99956.083782	7.136650	-63.630800
100190.458782	7.127300	-65.598700
100424.833782	7.224790	-64.765800
100659.208782	7.191330	-68.351200
100893.583782	7.090310	-66.470300
101127.958782	7.007450	-66.214900
101362.333782	6.769330	-68.086600
101596.708782	6.751450	-68.159100
101831.083782	6.640040	-70.367100
102065.458782	6.341390	-70.150600
102299.833782	6.529050	-71.969500
102534.208782	6.319530	-72.424700
102768.583782	6.088990	-72.966300
103002.958782	6.208540	-73.631100
103237.333782	6.199490	-75.484100
103471.708782	6.143770	-74.716600
103706.083782	5.862180	-75.785700
103940.458782	6.126540	-75.362100
104174.833782	5.753180	-79.415400
104409.208782	5.548530	-79.756000
104643.583782	5.591840	-78.028300
104877.958782	5.605950	-78.923000
105112.333782	5.444740	-79.593600
105346.708782	5.345460	-79.534600
105581.083782	5.435220	-81.019000
105815.458782	5.442690	-83.438100
106049.833782	5.337730	-81.313400
106284.208782	5.172420	-82.697700
106518.583782	5.130390	-82.463000
106752.958782	4.981640	-84.806800
106987.333782	4.859530	-86.251600
107221.708782	5.033450	-85.272400
107456.083782	4.774860	-79.869800
107690.458782	4.848320	-84.826300
107924.833782	4.879500	-88.463600
108159.208782	4.416200	-87.311800
108393.583782	4.506120	-90.128800
108627.958782	4.728540	-91.177300
108862.333782	4.493680	-93.045100
109096.708782	4.290880	-90.604900
109331.083782	4.320480	-89.766800
109565.458782	4.224500	-89.846400
109799.833782	4.462660	-94.251100
110034.208782	4.304620	-89.067800
110268.583782	4.474710	-92.351300
110502.958782	4.269330	-94.034900
110737.333782	4.287220	-92.573800
110971.708782	4.235970	-92.100700
111206.083782	3.924910	-96.951800
111440.458782	3.847200	-97.755400
111674.833782	3.939660	-95.382400
111909.208782	3.867040	-95.896400
112143.583782	3.718950	-97.713200
112377.958782	3.940640	-99.942500
112612.333782	3.521840	-101.218000
112846.708782	3.633450	-99.403600
113081.083782	3.681800	-100.607000
113315.458782	3.768140	-98.679300
113549.833782	3.685140	-102.266000
113784.208782	3.448260	-102.976000
114018.583782	3.631380	-104.812000
114252.958782	3.301350	-102.354000
